0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
COMMENT,,ModbusDataWrite,FeederStatusBits - Escapement Ret. Enabled,,ModbusDataWrite[1].11,
COMMENT,,ModbusDataWrite,LevelStatusBits - High Level - Lane1,,ModbusDataWrite[2].0,
COMMENT,,ModbusDataWrite,LevelStatusBits - High Level - Lane2,,ModbusDataWrite[2].1,
COMMENT,,ModbusDataWrite,LevelStatusBits - High Level - Lane3,,ModbusDataWrite[2].2,
COMMENT,,ModbusDataWrite,LevelStatusBits - High Level - Lane4,,ModbusDataWrite[2].3,
COMMENT,,ModbusDataWrite,LevelStatusBits - High Level - Lane5,,ModbusDataWrite[2].4,
COMMENT,,ModbusDataWrite,LevelStatusBits - High Level - Lane6,,ModbusDataWrite[2].5,
COMMENT,,ModbusDataWrite,LevelStatusBits - High Level - Lane7,,ModbusDataWrite[2].6,
COMMENT,,ModbusDataWrite,LevelStatusBits - High Level - Lane8,,ModbusDataWrite[2].7,
COMMENT,,ModbusDataWrite,LevelStatusBits - Not at Low Level - Lane1,,ModbusDataWrite[2].8,
COMMENT,,ModbusDataWrite,LevelStatusBits - Not at Low Level - Lane2,,ModbusDataWrite[2].9,
COMMENT,,ModbusDataWrite,LevelStatusBits - Not at Low Level - Lane3,,ModbusDataWrite[2].10,
COMMENT,,ModbusDataWrite,LevelStatusBits - Not at Low Level - Lane4,,ModbusDataWrite[2].11,
COMMENT,,ModbusDataWrite,LevelStatusBits - Not at Low Level - Lane5,,ModbusDataWrite[2].12,
COMMENT,,ModbusDataWrite,LevelStatusBits - Not at Low Level - Lane6,,ModbusDataWrite[2].13,
COMMENT,,ModbusDataWrite,LevelStatusBits - Not at Low Level - Lane7,,ModbusDataWrite[2].14,
COMMENT,,ModbusDataWrite,LevelStatusBits - Not at Low Level - Lane8,,ModbusDataWrite[2].15,
COMMENT,,ModbusDataWrite,JamStatusBits - Jam In Orientation - Lane1,,ModbusDataWrite[3].0,
COMMENT,,ModbusDataWrite,JamStatusBits - Jam In Orientation - Lane2,,ModbusDataWrite[3].1,
COMMENT,,ModbusDataWrite,JamStatusBits - Jam In Orientation - Lane3,,ModbusDataWrite[3].2,
COMMENT,,ModbusDataWrite,JamStatusBits - Jam In Orientation - Lane4,,ModbusDataWrite[3].3,
COMMENT,,ModbusDataWrite,JamStatusBits - Jam In Orientation - Lane5,,ModbusDataWrite[3].4,
COMMENT,,ModbusDataWrite,JamStatusBits - Jam In Orientation - Lane6,,ModbusDataWrite[3].5,
COMMENT,,ModbusDataWrite,JamStatusBits - Jam In Orientation - Lane7,,ModbusDataWrite[3].6,
COMMENT,,ModbusDataWrite,JamStatusBits - Jam In Orientation - Lane8,,ModbusDataWrite[3].7,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault0,,ModbusDataWrite[4].0,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault1,,ModbusDataWrite[4].1,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault2,,ModbusDataWrite[4].2,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault3,,ModbusDataWrite[4].3,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault4,,ModbusDataWrite[4].4,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault5,,ModbusDataWrite[4].5,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault6,,ModbusDataWrite[4].6,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault7,,ModbusDataWrite[4].7,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault8,,ModbusDataWrite[4].8,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault9,,ModbusDataWrite[4].9,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault10,,ModbusDataWrite[4].10,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault11,,ModbusDataWrite[4].11,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault12,,ModbusDataWrite[4].12,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault13,,ModbusDataWrite[4].13,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault14,,ModbusDataWrite[4].14,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault15,,ModbusDataWrite[4].15,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault16,,ModbusDataWrite[5].0,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault17,,ModbusDataWrite[5].1,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault18,,ModbusDataWrite[5].2,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault19,,ModbusDataWrite[5].3,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault20,,ModbusDataWrite[5].4,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault21,,ModbusDataWrite[5].5,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault22,,ModbusDataWrite[5].6,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault23,,ModbusDataWrite[5].7,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault24,,ModbusDataWrite[5].8,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault25,,ModbusDataWrite[5].9,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault26,,ModbusDataWrite[5].10,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault27,,ModbusDataWrite[5].11,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault28,,ModbusDataWrite[5].12,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault29,,ModbusDataWrite[5].13,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault30,,ModbusDataWrite[5].14,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray0 - Fault31,,ModbusDataWrite[5].15,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault0,,ModbusDataWrite[6].0,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault1,,ModbusDataWrite[6].1,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault2,,ModbusDataWrite[6].2,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault3,,ModbusDataWrite[6].3,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault4,,ModbusDataWrite[6].4,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault5,,ModbusDataWrite[6].5,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault6,,ModbusDataWrite[6].6,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault7,,ModbusDataWrite[6].7,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault8,,ModbusDataWrite[6].8,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault9,,ModbusDataWrite[6].9,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault10,,ModbusDataWrite[6].10,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault11,,ModbusDataWrite[6].11,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault12,,ModbusDataWrite[6].12,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault13,,ModbusDataWrite[6].13,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault14,,ModbusDataWrite[6].14,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault15,,ModbusDataWrite[6].15,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault16,,ModbusDataWrite[7].0,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault17,,ModbusDataWrite[7].1,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault18,,ModbusDataWrite[7].2,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault19,,ModbusDataWrite[7].3,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault20,,ModbusDataWrite[7].4,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault21,,ModbusDataWrite[7].5,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault22,,ModbusDataWrite[7].6,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault23,,ModbusDataWrite[7].7,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault24,,ModbusDataWrite[7].8,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault25,,ModbusDataWrite[7].9,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault26,,ModbusDataWrite[7].10,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault27,,ModbusDataWrite[7].11,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault28,,ModbusDataWrite[7].12,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault29,,ModbusDataWrite[7].13,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault30,,ModbusDataWrite[7].14,
COMMENT,,ModbusDataWrite,FaultBits - FaultArray1 - Fault31,,ModbusDataWrite[7].15,
COMMENT,,ModbusDataWrite,Floats -VibrationData[0] - VibrationX (High INT),,ModbusDataWrite[70],
COMMENT,,ModbusDataWrite,Floats -VibrationData[0] - VibrationX (Low INT),,ModbusDataWrite[71],
COMMENT,,ModbusDataWrite,Floats -VibrationData[0] - VibrationY (High INT),,ModbusDataWrite[72],
COMMENT,,ModbusDataWrite,Floats -VibrationData[0] - VibrationY (Low INT),,ModbusDataWrite[73],
COMMENT,,ModbusDataWrite,Floats -VibrationData[0] - VibrationZ (High INT),,ModbusDataWrite[74],
COMMENT,,ModbusDataWrite,Floats -VibrationData[0] - VibrationZ (Low INT),,ModbusDataWrite[75],
COMMENT,,ModbusDataWrite,Floats -VibrationData[0] - Temperature (High INT),,ModbusDataWrite[76],
COMMENT,,ModbusDataWrite,Floats -VibrationData[0] - Temperature (Low INT),,ModbusDataWrite[77],
COMMENT,,ModbusDataWrite,Floats -VibrationData[1] - VibrationX (High INT),,ModbusDataWrite[78],
COMMENT,,ModbusDataWrite,Floats -VibrationData[1] - VibrationX (Low INT),,ModbusDataWrite[79],
COMMENT,,ModbusDataWrite,Floats -VibrationData[1] - VibrationY (High INT),,ModbusDataWrite[80],
COMMENT,,ModbusDataWrite,Floats -VibrationData[1] - VibrationY (Low INT),,ModbusDataWrite[81],
COMMENT,,ModbusDataWrite,Floats -VibrationData[1] - VibrationZ (High INT),,ModbusDataWrite[82],
COMMENT,,ModbusDataWrite,Floats -VibrationData[1] - VibrationZ (Low INT),,ModbusDataWrite[83],
COMMENT,,ModbusDataWrite,Floats -VibrationData[1] - Temperature (High INT),,ModbusDataWrite[84],
COMMENT,,ModbusDataWrite,Floats -VibrationData[1] - Temperature (Low INT),,ModbusDataWrite[85],
COMMENT,,ModbusDataWrite,Floats -VibrationData[2] - VibrationX (High INT),,ModbusDataWrite[86],
COMMENT,,ModbusDataWrite,Floats -VibrationData[2] - VibrationX (Low INT),,ModbusDataWrite[87],
COMMENT,,ModbusDataWrite,Floats -VibrationData[2] - VibrationY (High INT),,ModbusDataWrite[88],
COMMENT,,ModbusDataWrite,Floats -VibrationData[2] - VibrationY (Low INT),,ModbusDataWrite[89],
COMMENT,,ModbusDataWrite,Floats -VibrationData[2] - VibrationZ (High INT),,ModbusDataWrite[90],
COMMENT,,ModbusDataWrite,Floats -VibrationData[2] - VibrationZ (Low INT),,ModbusDataWrite[91],
COMMENT,,ModbusDataWrite,Floats -VibrationData[2] - Temperature (High INT),,ModbusDataWrite[92],
COMMENT,,ModbusDataWrite,Floats -VibrationData[2] - Temperature (Low INT),,ModbusDataWrite[93],
COMMENT,,ModbusDataWrite,Floats -VibrationData[3] - VibrationX (High INT),,ModbusDataWrite[94],
COMMENT,,ModbusDataWrite,Floats -VibrationData[3] - VibrationX (Low INT),,ModbusDataWrite[95],
COMMENT,,ModbusDataWrite,Floats -VibrationData[3] - VibrationY (High INT),,ModbusDataWrite[96],
COMMENT,,ModbusDataWrite,Floats -VibrationData[3] - VibrationY (Low INT),,ModbusDataWrite[97],
COMMENT,,ModbusDataWrite,Floats -VibrationData[3] - VibrationZ (High INT),,ModbusDataWrite[98],
COMMENT,,ModbusDataWrite,Floats -VibrationData[3] - VibrationZ (Low INT),,ModbusDataWrite[99],
COMMENT,,ModbusDataWrite,Floats -VibrationData[3] - Temperature (High INT),,ModbusDataWrite[100],
COMMENT,,ModbusDataWrite,Floats -VibrationData[3] - Temperature (Low INT),,ModbusDataWrite[101],
COMMENT,,ModbusDataWrite,Floats -SpeedData[0] - Bulk Hopper Speed (Low INT),,ModbusDataWrite[102],
COMMENT,,ModbusDataWrite,Floats -SpeedData[0] - Bulk Hopper Speed (High INT),,ModbusDataWrite[103],
COMMENT,,ModbusDataWrite,Floats -SpeedData[1] - Cross Conveyor Speed (Low INT),,ModbusDataWrite[104],
COMMENT,,ModbusDataWrite,Floats -SpeedData[1] - Cross Conveyor Speed (High INT),,ModbusDataWrite[105],
COMMENT,,ModbusDataWrite,Floats -SpeedData[2] - Transfer Conveyor Speed (Low INT),,ModbusDataWrite[106],
COMMENT,,ModbusDataWrite,Floats -SpeedData[2] - Transfer Conveyor Speed (High INT),,ModbusDataWrite[107],
COMMENT,,ModbusDataWrite,Floats -SpeedData[3] - Orientation Conveyor Speed (Low INT),,ModbusDataWrite[108],
COMMENT,,ModbusDataWrite,Floats -SpeedData[3] - Orientation Conveyor Speed (High INT),,ModbusDataWrite[109],
